method,metoda,AUC-PR,rank,dataset,folder
metoda10,run10_ISOT_pr_curve.csv,0.25,21,ISOT,results_1_one_shot
metoda1-5,run1-5_ISOT_pr_curve.csv,0.25,22,ISOT,results_1_one_shot
metoda1-4,run1-4_ISOT_pr_curve.csv,0.25,23,ISOT,results_1_one_shot
metoda1-3,run1-3_ISOT_pr_curve.csv,0.25,24,ISOT,results_1_one_shot
metoda9,run9_ISOT_pr_curve.csv,0.25,25,ISOT,results_1_one_shot
metoda1-1,run1-1_WELFake_pr_curve.csv,1.0,1,WELFake,results_1_one_shot
metoda17,run17_WELFake_pr_curve.csv,1.0,2,WELFake,results_1_one_shot
metoda8,run8_WELFake_pr_curve.csv,1.0,3,WELFake,results_1_one_shot
metoda7,run7_WELFake_pr_curve.csv,1.0,4,WELFake,results_1_one_shot
metoda6,run6_WELFake_pr_curve.csv,1.0,5,WELFake,results_1_one_shot
metoda5,run5_WELFake_pr_curve.csv,1.0,6,WELFake,results_1_one_shot
metoda4,run4_WELFake_pr_curve.csv,1.0,7,WELFake,results_1_one_shot
metoda3,run3_WELFake_pr_curve.csv,1.0,8,WELFake,results_1_one_shot
metoda2,run2_WELFake_pr_curve.csv,1.0,9,WELFake,results_1_one_shot
metoda20,run20_WELFake_pr_curve.csv,1.0,10,WELFake,results_1_one_shot
metoda19,run19_WELFake_pr_curve.csv,1.0,11,WELFake,results_1_one_shot
metoda18,run18_WELFake_pr_curve.csv,1.0,12,WELFake,results_1_one_shot
metoda16,run16_WELFake_pr_curve.csv,1.0,13,WELFake,results_1_one_shot
metoda1-2,run1-2_WELFake_pr_curve.csv,1.0,14,WELFake,results_1_one_shot
metoda15,run15_WELFake_pr_curve.csv,1.0,15,WELFake,results_1_one_shot
metoda14,run14_WELFake_pr_curve.csv,1.0,16,WELFake,results_1_one_shot
metoda13,run13_WELFake_pr_curve.csv,1.0,17,WELFake,results_1_one_shot
metoda12-rf,run12-rf_WELFake_pr_curve.csv,1.0,18,WELFake,results_1_one_shot
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,1.0,19,WELFake,results_1_one_shot
metoda11,run11_WELFake_pr_curve.csv,1.0,20,WELFake,results_1_one_shot
