dataset,method,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
WELFake,run12-catboost,0.6333333333333333,0.7083333333333334,0.6666666666666666,0.6723646723646723,0.7600000000000001,0.24158162379719636,0.6895242700128006,0.2666666666666667,94.14836128552754,,
WELFake,run12-rf,0.7333333333333334,0.7238095238095238,0.7999999999999999,0.7555555555555555,0.88,0.4727392967453308,0.4959331459868297,0.4666666666666666,94.07702120145161,0.5333333333333333,0.3720759220056126
WELFake,run13,0.9,0.8777777777777778,0.9333333333333332,0.903030303030303,0.9866666666666667,0.805498860309242,0.2925684372929649,0.8000000000000002,2320.305372158686,,
WELFake,run14,0.6666666666666666,0.6611111111111111,0.6666666666666666,0.6585858585858586,0.68,0.3415816237971963,0.5968388706599465,0.3333333333333334,5258.680727481842,,
WELFake,run15,0.7000000000000001,0.7166666666666667,0.6666666666666666,0.6888888888888888,0.7600000000000001,0.402749430154621,0.6244751306281551,0.39999999999999997,663.7566572825114,0.6333333333333333,0.25372558009838525
WELFake,run16,0.7333333333333334,0.7222222222222222,0.7999999999999999,0.7575757575757575,0.7600000000000001,0.4694160968212877,0.4810409956231653,0.46666666666666673,4588.061130126317,0.8333333333333334,0.13333333333333333
WELFake,run17,0.6333333333333333,0.5,0.5333333333333333,0.5014245014245015,0.6533333333333333,0.2721655269759087,0.5652890270046299,0.26666666666666666,344.9329568545024,0.4,0.2
WELFake,run18,0.6333333333333333,0.6666666666666666,0.6,0.6262626262626262,0.7733333333333333,0.2721655269759087,0.4815563915018402,0.26666666666666666,334.2937641938527,0.6,0.2387425886722793
WELFake,run19,0.8333333333333334,0.8222222222222223,0.8666666666666667,0.8424242424242424,0.8666666666666667,0.6694160968212876,0.6548345849020969,0.6666666666666666,2157.2017555236816,0.7666666666666666,0.24494897427831783
WELFake,run2,0.7000000000000001,0.7166666666666667,0.6666666666666666,0.6888888888888888,0.7600000000000001,0.402749430154621,0.6244751306281551,0.39999999999999997,663.7566572825114,0.6333333333333333,0.25372558009838525
WELFake,run20,0.7333333333333334,0.7833333333333333,0.6666666666666666,0.7185185185185184,0.8266666666666668,0.4749149571305297,0.49635760155692066,0.4666666666666666,739.1763978004456,0.6666666666666666,0.2387425886722793
WELFake,run3,0.6666666666666666,0.6722222222222222,0.6666666666666666,0.6646464646464646,0.7866666666666667,0.33883219364257533,0.5963138063033384,0.3333333333333333,2016.0351897080739,0.4666666666666666,0.25372558009838525
WELFake,run4,0.6,0.6166666666666667,0.7333333333333334,0.6444444444444444,0.66,0.20274943015462102,3.0721208623397533,0.19999999999999996,1671.7151209513347,0.55,0.258113883008419
WELFake,run5,0.7333333333333334,0.6825396825396824,0.9333333333333332,0.7859362859362861,0.84,0.49038341721190104,1.1879873046030283,0.4666666666666666,74.15143823623657,0.7666666666666666,0.2816496580927726
WELFake,run6,0.7000000000000001,0.7166666666666667,0.6666666666666666,0.6888888888888888,0.7600000000000001,0.402749430154621,0.6244751306281551,0.39999999999999997,663.7566572825114,0.6333333333333333,0.25372558009838525
WELFake,run7,0.7333333333333334,0.7142857142857143,0.8666666666666667,0.7777777777777778,0.8266666666666667,0.4788119268239949,0.6002750547476889,0.46666666666666673,6.494943459828694,0.6666666666666666,0.21498299142610597
WELFake,run8,0.7000000000000001,0.7166666666666667,0.6666666666666666,0.6888888888888888,0.7600000000000001,0.402749430154621,0.6244751306281551,0.39999999999999997,663.7566572825114,0.6333333333333333,0.25372558009838525
WELFake,run9,0.8666666666666667,0.8380952380952381,0.9333333333333332,0.8777777777777778,0.9199999999999999,0.7515512235693258,0.40695584969533255,0.7333333333333334,3544.2586781978607,0.6666666666666666,0.2816496580927726
