metric,method,test,mean,std,p_value,normal_distribution
ROC-AUC,metoda10,Shapiro-Wilk,0.614100064977258,0.30066768734455185,0.6403811613214397,True
ROC-AUC,metoda11,Shapiro-Wilk,0.7072254710851202,0.24873321098311754,0.27545508541897046,True
ROC-AUC,metoda12-catboost,Shapiro-Wilk,0.6391812865497077,0.29468565001967056,0.36540122288869215,True
ROC-AUC,metoda12-rf,Shapiro-Wilk,0.5508122157244965,0.3134857168751745,0.7344508695406031,True
ROC-AUC,metoda13,Shapiro-Wilk,0.6330864197530865,0.29381797961849426,0.42792644910795796,True
ROC-AUC,metoda14,Shapiro-Wilk,0.6225730994152047,0.3016025780300027,0.5250295343485311,True
ROC-AUC,metoda15,Shapiro-Wilk,0.6350292397660818,0.2671589664242191,0.6841772013019011,True
ROC-AUC,metoda16,Shapiro-Wilk,0.524093567251462,0.29801425622380934,0.8526079003325711,True
ROC-AUC,metoda17,Shapiro-Wilk,0.6504223521767382,0.3454935101500528,0.09252378508356363,True
ROC-AUC,metoda18,Shapiro-Wilk,0.5033398310591293,0.31610306721904097,0.4820572516216347,True
ROC-AUC,metoda19,Shapiro-Wilk,0.5024561403508773,0.33603094790677607,0.5813346839450448,True
ROC-AUC,metoda20,Shapiro-Wilk,0.6350292397660818,0.2671589664242191,0.6841772013019011,True
ROC-AUC,metoda2,Shapiro-Wilk,0.6350292397660818,0.2671589664242191,0.6841772013019011,True
ROC-AUC,metoda3,Shapiro-Wilk,0.6527225471085121,0.27753110090986055,0.21697130751752958,True
ROC-AUC,metoda4,Shapiro-Wilk,0.5198099415204678,0.21639378715113064,0.07085882094432946,True
ROC-AUC,metoda5,Shapiro-Wilk,0.6150877192982456,0.31694099485980637,0.48688508716597617,True
ROC-AUC,metoda6,Shapiro-Wilk,0.6350292397660818,0.2671589664242191,0.6841772013019011,True
ROC-AUC,metoda7,Shapiro-Wilk,0.601812865497076,0.29263632365112124,0.5183877709508836,True
ROC-AUC,metoda8,Shapiro-Wilk,0.6350292397660818,0.2671589664242191,0.6841772013019011,True
ROC-AUC,metoda9,Shapiro-Wilk,0.5837686809616635,0.29443585288165697,0.5951587808475631,True
MCC,metoda1-1,Shapiro-Wilk,0.19974758999133413,0.3634710755939871,0.009283080558972676,False
MCC,metoda1-2,Shapiro-Wilk,0.048427596895834694,0.17310256218606965,0.0009523023198012023,False
MCC,metoda1-3,Shapiro-Wilk,0.035702259708293764,0.24226034608064698,0.0002846360426590458,False
MCC,metoda1-4,Shapiro-Wilk,0.0180246023478625,0.05098127419345816,3.2174928627621727e-07,False
MCC,metoda1-5,Shapiro-Wilk,0.056692966026381963,0.2936520775078269,0.0297855869263277,False
MCC,metoda10,Shapiro-Wilk,0.3555929019168482,0.3863509027872079,0.14331420616145862,True
MCC,metoda11,Shapiro-Wilk,0.26372708845479953,0.4137188387422063,0.01877540960002692,False
MCC,metoda12-catboost,Shapiro-Wilk,0.40553084861806393,0.352799170909563,0.10812636570906742,True
MCC,metoda12-rf,Shapiro-Wilk,0.049451398521357506,0.4435119669784068,0.16009112430735534,True
MCC,metoda13,Shapiro-Wilk,0.4080348179418178,0.3667405810647819,0.1402950058079644,True
MCC,metoda14,Shapiro-Wilk,0.18673811405630797,0.319720181093734,0.0015653669922525695,False
MCC,metoda15,Shapiro-Wilk,0.22088238703973762,0.5011224690410814,0.2915685249172213,True
MCC,metoda16,Shapiro-Wilk,0.07142028546077424,0.17415375779426645,0.7818847382360297,True
MCC,metoda17,Shapiro-Wilk,0.058670135868850025,0.11452254299953024,4.2377044493449924e-05,False
MCC,metoda18,Shapiro-Wilk,0.12205309289192984,0.24713375231301876,0.1255274499866833,True
MCC,metoda19,Shapiro-Wilk,0.21086896672807168,0.3514665656735843,0.12255769254307503,True
MCC,metoda20,Shapiro-Wilk,0.22088238703973762,0.5011224690410814,0.2915685249172213,True
MCC,metoda2,Shapiro-Wilk,0.22088238703973762,0.5011224690410814,0.2915685249172213,True
MCC,metoda3,Shapiro-Wilk,0.1421006768693915,0.4841746043540033,0.012305801232798185,False
MCC,metoda4,Shapiro-Wilk,0.03781322950058541,0.39993174078293864,0.008963280350638524,False
MCC,metoda5,Shapiro-Wilk,0.18409945193246935,0.3930353446301312,0.17978151905034273,True
MCC,metoda6,Shapiro-Wilk,0.22088238703973762,0.5011224690410814,0.2915685249172213,True
MCC,metoda7,Shapiro-Wilk,0.1515509152273356,0.352675997483968,0.047108400101820096,False
MCC,metoda8,Shapiro-Wilk,0.22088238703973762,0.5011224690410814,0.2915685249172213,True
MCC,metoda9,Shapiro-Wilk,0.09257588102259884,0.3820967889554083,0.16918843457597754,True
Cohen's Kappa,metoda1-1,Shapiro-Wilk,0.19724373924149036,0.34404208613142545,0.0012390713692648609,False
Cohen's Kappa,metoda1-2,Shapiro-Wilk,0.04507329758949093,0.12833146462116143,2.8060708804334917e-05,False
Cohen's Kappa,metoda1-3,Shapiro-Wilk,0.04444444444444445,0.20608041101101565,5.606765907812406e-05,False
Cohen's Kappa,metoda1-4,Shapiro-Wilk,0.005698005698005711,0.0161163938731977,3.2174928627621727e-07,False
Cohen's Kappa,metoda1-5,Shapiro-Wilk,0.0607843137254902,0.25974287111036687,0.026394352455060232,False
Cohen's Kappa,metoda10,Shapiro-Wilk,0.352246075693707,0.3863190521451705,0.12664916488634337,True
Cohen's Kappa,metoda11,Shapiro-Wilk,0.26122445096427704,0.4140747248354484,0.016716373355124787,False
Cohen's Kappa,metoda12-catboost,Shapiro-Wilk,0.39976820897455645,0.3543214485546445,0.09351323669936747,True
Cohen's Kappa,metoda12-rf,Shapiro-Wilk,0.05092027720814919,0.4398542584879304,0.15934098668792518,True
Cohen's Kappa,metoda13,Shapiro-Wilk,0.40261536037090695,0.36870212261835167,0.11328542872333747,True
Cohen's Kappa,metoda14,Shapiro-Wilk,0.18639631929118494,0.3186355418283285,0.0013152714143249103,False
Cohen's Kappa,metoda15,Shapiro-Wilk,0.23100488330033592,0.4839979631278387,0.18201208949675318,True
Cohen's Kappa,metoda16,Shapiro-Wilk,0.07044492964803901,0.17233660244181193,0.7906816011256969,True
Cohen's Kappa,metoda17,Shapiro-Wilk,0.04357108199902958,0.08153508190838059,1.9810596606719094e-05,False
Cohen's Kappa,metoda18,Shapiro-Wilk,0.12009631545374294,0.24463750118738742,0.1260317505078512,True
Cohen's Kappa,metoda19,Shapiro-Wilk,0.21051532694241457,0.34909171697473124,0.08656827164564264,True
Cohen's Kappa,metoda20,Shapiro-Wilk,0.23100488330033592,0.4839979631278387,0.18201208949675318,True
Cohen's Kappa,metoda2,Shapiro-Wilk,0.23100488330033592,0.4839979631278387,0.18201208949675318,True
Cohen's Kappa,metoda3,Shapiro-Wilk,0.15331682688977236,0.47021877045446364,0.005944861055773943,False
Cohen's Kappa,metoda4,Shapiro-Wilk,0.05039263840237672,0.3841627130706529,0.0036837121540842063,False
Cohen's Kappa,metoda5,Shapiro-Wilk,0.1783186345862945,0.38460460622693804,0.18207463913603295,True
Cohen's Kappa,metoda6,Shapiro-Wilk,0.23100488330033592,0.4839979631278387,0.18201208949675318,True
Cohen's Kappa,metoda7,Shapiro-Wilk,0.15016815367982952,0.3508462983553149,0.036208756220172326,False
Cohen's Kappa,metoda8,Shapiro-Wilk,0.23100488330033592,0.4839979631278387,0.18201208949675318,True
Cohen's Kappa,metoda9,Shapiro-Wilk,0.09322792725014926,0.38074277681346147,0.15754328134065493,True
AUC-PR,metoda1-1,Shapiro-Wilk,0.7527131227000375,0.2378437344362213,0.10712518777584168,True
AUC-PR,metoda1-2,Shapiro-Wilk,0.7634193154911659,0.2085736466898623,0.03472898603906737,False
AUC-PR,metoda1-3,Shapiro-Wilk,0.6267243684046497,0.2678861931628298,0.43937493727599486,True
