metric,method,test,mean,std,p_value,normal_distribution
F1-Score,metoda11,Shapiro-Wilk,0.7199996244688259,0.3117356036061757,0.05039514409086327,True
F1-Score,metoda12-catboost,Shapiro-Wilk,0.7348584435223984,0.3104269572277042,0.03363694855969348,False
F1-Score,metoda12-rf,Shapiro-Wilk,0.7238234676981513,0.2895151326800527,0.019013000256657975,False
F1-Score,metoda13,Shapiro-Wilk,0.7492317882442427,0.29386530961711843,0.010427232210655944,False
F1-Score,metoda14,Shapiro-Wilk,0.7410436602415386,0.29041194000290577,0.010992921499695853,False
F1-Score,metoda15,Shapiro-Wilk,0.7677816918694342,0.16171780692957913,0.08460546830688567,True
F1-Score,metoda16,Shapiro-Wilk,0.6142038382290952,0.396561540146571,0.03700768543718048,False
F1-Score,metoda17,Shapiro-Wilk,0.554224767118691,0.41317855648045015,0.024979165983973928,False
F1-Score,metoda18,Shapiro-Wilk,0.7043060375059925,0.2864757348897572,0.04184439218078025,False
F1-Score,metoda19,Shapiro-Wilk,0.6643250413444425,0.37229418055245983,0.009743824265681796,False
F1-Score,metoda20,Shapiro-Wilk,0.7677816918694342,0.16171780692957913,0.08460546830688567,True
F1-Score,metoda2,Shapiro-Wilk,0.7677816918694342,0.16171780692957913,0.08460546830688567,True
F1-Score,metoda3,Shapiro-Wilk,0.7785305160363543,0.15571075211006608,0.16727076862301404,True
F1-Score,metoda4,Shapiro-Wilk,0.6520266944205987,0.03954537204236823,0.2631318473174664,True
F1-Score,metoda5,Shapiro-Wilk,0.7039920630966533,0.28810870696769153,0.01654256315476707,False
F1-Score,metoda6,Shapiro-Wilk,0.7677816918694342,0.16171780692957913,0.08460546830688567,True
F1-Score,metoda7,Shapiro-Wilk,0.7264348094828851,0.2914241983213492,0.02761938109131048,False
F1-Score,metoda8,Shapiro-Wilk,0.7677816918694342,0.16171780692957913,0.08460546830688567,True
F1-Score,metoda9,Shapiro-Wilk,0.7266926283870776,0.2863182448394503,0.01818099644165252,False
ROC-AUC,metoda1-1,Shapiro-Wilk,0.7749251766874169,0.30137993489894715,0.0030797904404212735,False
ROC-AUC,metoda1-2,Shapiro-Wilk,0.77039671784105,0.29789978956265667,0.0036949961019507034,False
